,id,title,source,year,url,desc,tags,contains
0,berkeley-Spring-CS,CS 9A: MATLAB for Programmers,Berkeley,Spring 2019,https://selfpaced.bitbucket.io/#/matlab/calendar,"Introduction to the constructs in the Matlab programming language, aimed at students who already know how to program. Array and matrix operations, functions and function handles, control flow, plotting and image manipulation, cell arrays and structures, and the Symbolic Mathematics toolbox.",['CS9A'],"{'videos': False, 'written': True, 'assignments': True}"
1,berkeley-Spring-CS,CS 9C: C for Programmers,Berkeley,Spring 2019,https://selfpaced.bitbucket.io/#/c/calendar,"Self-paced course in the C programming language for students who already know how to program. Computation, input and output, flow of control, functions, arrays, and pointers, linked structures, use of dynamic storage, and implementation of abstract data types.",['CS9C'],"{'videos': False, 'written': True, 'assignments': True}"
2,berkeley-Spring-CS,CS 9E: Productive Use of the UNIX Environment,Berkeley,Spring 2019,https://selfpaced.bitbucket.io/#/unix/calendar,"Use of UNIX utilities and scripting facilities for customizing the programming environment, organizing files (possibly in more than one computer account), implementing a personal database, reformatting text, and searching for online resources.",['CS9E'],"{'videos': False, 'written': True, 'assignments': True}"
3,berkeley-Spring-CS,CS 9F: C++ for Programmers,Berkeley,Spring 2019,https://selfpaced.bitbucket.io/#/cpp/calendar,"Self-paced introduction to the constructs provided in the C++ programming language for procedural and object-oriented programming, aimed at students who already know how to program.",['CS9F'],"{'videos': False, 'written': True, 'assignments': True}"
4,berkeley-Spring-CS,CS 9G: JAVA for Programmers,Berkeley,Spring 2019,https://selfpaced.bitbucket.io/#/java/calendar,"Self-paced course in Java for students who already know how to program. Applets; variables and computation; events and flow of control; classes and objects; inheritance; GUI elements; applications; arrays, strings, files, and linked structures; exceptions; threads.",['CS9G'],"{'videos': False, 'written': True, 'assignments': True}"
5,berkeley-Spring-CS,CS 9H: Python for Programmers,Berkeley,Spring 2019,https://selfpaced.bitbucket.io/#/python/calendar,"Introduction to the constructs provided in the Python programming language, aimed at students who already know how to program. Flow of control; strings, tuples, lists, and dictionaries; CGI programming; file input and output; object-oriented programming; GUI elements.",['CS9H'],"{'videos': False, 'written': True, 'assignments': True}"
6,berkeley-Spring-CS,CS 10: The Beauty and Joy of Computing,Berkeley,Spring 2021,https://cs10.org/sp21/,"An introductory course for students with minimal prior exposure to computer science. Prepares students for future computer science courses and empowers them to utilize programming to solve problems in their field of study. Presents an overview of the history, great principles, and transformative applications of computer science, as well as a comprehensive introduction to programming. T",['CS10'],"{'videos': False, 'written': True, 'assignments': True}"
7,berkeley-Summer-CS,CS 61A: Structure and Interpretation of Computer Programs,Berkeley,Summer 2021,https://cs61a.org/,"CS 61A concentrates on the idea of abstraction, allowing the programmer to think in terms appropriate to the problem rather than in low-level operations dictated by the computer hardware.",['CS61'],"{'videos': True, 'written': True, 'assignments': True}"
8,berkeley-Spring-CS,CS 61B: Data Structures,Berkeley,Spring 2021,https://sp21.datastructur.es/,"The CS 61 series is an introduction to Computer Science, with particular emphasis on software and machines from a programmer’s point of view. CS 61A covered high-level approaches to problem-solving, providing you with a variety of ways to organize solutions to programming problems as compositions of functions, collections of objects, or sets of rules. In CS 61B, we move to a somewhat more detailed (and to some extent, more basic) level of programming.",['CS61'],"{'videos': True, 'written': True, 'assignments': True}"
9,berkeley-Spring-CS,CS 61C: Great Ideas in Computer Architecture (Machine Structures),Berkeley,Summer 2021,https://cs61c.org/su21/,"The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions.",['CS61'],"{'videos': False, 'written': True, 'assignments': True}"
10,berkeley-Spring-CS,CS 70: Discrete Math and Probability,Berkeley,Spring 2021,http://www.eecs70.org/,"Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference.",['CS70'],"{'videos': False, 'written': True, 'assignments': True}"
11,berkeley-Spring-CS,CS 88: Computational Structures in Data Science,Berkeley,Spring 2021,https://cs88-website.github.io/sp21/,"Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding the structures that underlie the programs, algorithms, and languages used in data science and elsewhere. Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.",['CS88'],"{'videos': True, 'written': True, 'assignments': True}"
12,berkeley-Spring-CS,CS 152. Computer Architecture and Engineering,Berkeley,Spring 2021,https://inst.eecs.berkeley.edu/~cs152/sp21/,"Instruction set architecture, microcoding, pipelining (simple and complex). Memory hierarchies and virtual memory. Processor parallelism: VLIW, vectors, multithreading. Multiprocessors.",['CS15'],"{'videos': False, 'written': True, 'assignments': True}"
13,berkeley-Spring-CS,CS 161: Computer Security,Berkeley,Spring 2021,https://sp21.cs161.org/,"Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems.",['CS16'],"{'videos': False, 'written': True, 'assignments': True}"
14,berkeley-Spring-CS,CS 162: Operating Systems and Systems Programming,Berkeley,Spring 2021,https://inst.eecs.berkeley.edu/~cs162/sp21/,"Basic concepts of operating systems and system programming. Utility programs, subsystems, multiple-program systems. Processes, interprocess communication, and synchronization. Memory allocation, segmentation, paging. Loading and linking, libraries. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy.",['CS16'],"{'videos': False, 'written': True, 'assignments': True}"
