,book,url,author,category
0,"Information Theory, Inference, and Learning Algorithms",http://www.inference.org.uk/mackay/itprnn/book.html,David MacKay,algorithms
1,Operating Systems: Three Easy Pieces,https://pages.cs.wisc.edu/~remzi/OSTEP/,"Arpaci-Dusseau, Andrea C., Apraci-Dusseau, Remzi H.",systems
2,Machine Learning,http://www.cs.cmu.edu/~tom/mlbook.html,Tom Mitchell,machinelearning
3,The Elements of Statistical Learning,https://web.stanford.edu/~hastie/ElemStatLearn/,"Trevor Hastie, Robert Tibshirani, and Jerome Friedman","statistics, mathematics"
4,Introduction to Information Retreival,https://nlp.stanford.edu/IR-book/information-retrieval-book.html,"Christopher D. Manning, Prabhakar Raghavan, and Hinrich Schütze",introduction
5,A Byte of Python,http://www.ibiblio.org/swaroopch/byteofpython/read/,Swaroop C H,python
6,Python Programming,https://en.wikibooks.org/wiki/Python_Programming,WikiBooks,python
7,Introduction to Python,http://tdc-www.harvard.edu/Python.pdf,"Matt Huenerfauth, Guido van Rossum, Richard P. Muller",python
8,Structure and Interpretation of Computer Programs,https://mitpress.mit.edu/sites/default/files/sicp/full-text/book/book-Z-H-4.html#%_toc_%_chap_Temp_851,MIT Press,theory
9,Mathematics for Computer Science,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/readings/MIT6_042JS15_textbook.pdf,"Eric Lehman, F. Thomson Leighton, & Albert R. Meyer",mathematics
10,"Computational Biology: Genomes, Networks, Evolution",https://ocw.mit.edu/ans7870/6/6.047/f15/MIT6_047F15_Compiled.pdf,Manolis Kellis,biology
11,The Art of Insight in Science and Engineering,https://ocw.mit.edu/resources/res-6-011-the-art-of-insight-in-science-and-engineering-mastering-complexity-fall-2014/online-textbook/MITRES_6-011F14_art_insfin.pdf,Sanjoy Mahajan,theory
12,Introduction to Probability,https://math.dartmouth.edu/~prob/prob/prob.pdf,"Charles M. Grinstead, J. Laurie Snell",mathematics
13,Algebraic Curves: An Introduction to Algebraic Geometry,http://www.math.lsa.umich.edu/~wfulton/CurveBook.pdf,William Fulton,mathematics
14,Elliptic Curves,http://www.jmilne.org/math/Books/ectext.html,J.S. Milne,mathematics
15,Operational Amplifiers: Theory and Practice,https://ocw.mit.edu/ans7870/RES/RES.6-010/MITRES_6-010S13_comchaptrs.pdf,James K. Roberge,mathematics
16,Calculus,https://ocw.mit.edu/ans7870/resources/Strang/Edited/Calculus/Calculus.pdf,Gilbert Strang,mathematics
17,OpenSSH,https://en.wikibooks.org/wiki/OpenSSH,WikiBooks,"security, misc"
18,Linear Algebra,https://en.wikibooks.org/wiki/Linear_Algebra,WikiBooks,mathematics
19,Algorithms,https://en.wikibooks.org/wiki/Algorithms,WikiBooks,algorithms
20,Write Yourself a Scheme in 48 Houris (Advanced Haskell),https://en.wikibooks.org/wiki/Write_Yourself_a_Scheme_in_48_Hours,WikiBooks,"haskell, misc"
21,LaTeX,https://en.wikibooks.org/wiki/LaTeX,WikiBooks,latex
22,C Programming: A comprehensive look at the C programming language and its features,https://en.wikibooks.org/wiki/C_Programming,WikiBooks,cprogramming
23,C# Programming,https://en.wikibooks.org/wiki/C_Sharp_Programming,WikiBooks,cprogramming
24,Blended Learning in K-12,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12,WikiBooks,misc
25,Knowing Knoppix,https://en.wikibooks.org/wiki/Knowing_Knoppix,WikiBooks,"knoppix, linux"
26,XForms Tutorial and Cookbook,https://en.wikibooks.org/wiki/XForms,WikiBooks,"web, xforms, misc"
27,XML - Managing Data Exchange,https://en.wikibooks.org/wiki/XML_-_Managing_Data_Exchange,WikiBooks,"web, xml"
28,Blender 3D: Noob to Pro,https://en.wikibooks.org/wiki/Blender_3D:_Noob_to_Pro,WikiBooks,"blender, graphics"
29,Introduction to Statistical Thinking,https://open.umn.edu/opentextbooks/textbooks/introduction-to-statistical-thinking,Benjamin Yakir (The Hebrew University of Jerusalem),mathematics
30,Defend Dissent: Introduction to Cryptography,https://open.umn.edu/opentextbooks/textbooks/defend-dissent,Oregon State University,"crypto, introduction"
31,First Semester in Numerical Analysis with Python,https://open.umn.edu/opentextbooks/textbooks/first-semester-in-numerical-analysis-with-python,"Yaning Liu, (University of Colorado Denver)","python, introduction"
32,The Joy of Cryptography,https://open.umn.edu/opentextbooks/textbooks/the-joy-of-cryptography,Mike Rosulek (Oregon State University),crypto
33,A Primer for Computational Biology,https://open.umn.edu/opentextbooks/textbooks/a-primer-for-computational-biology,Shawn T. O'Neil (Oregon State University),biology
34,Think Raku: How to Think Like a Computer Scientist,https://open.umn.edu/opentextbooks/textbooks/think-raku-how-to-think-like-a-computer-scientist-2nd-edition,"Laurent Rosenfeld, Allen B. Downey (Olin College)",theory
35,Computer Networks: A Systems Approach,https://open.umn.edu/opentextbooks/textbooks/computer-networks-a-systems-approach,"Larry Peterson (Princeton University), Bruce Davie (VMWare)",networks
36,Web Accessibility for Developers,https://open.umn.edu/opentextbooks/textbooks/web-accessibility-for-developers,Ryerson University,"web, misc"
37,Making Games with Python & Pygame,https://open.umn.edu/opentextbooks/textbooks/making-games-with-python-pygame,Albert Sweigart,python
38,An Introduction to Matlab and Mathcad,https://open.umn.edu/opentextbooks/textbooks/an-introduction-to-matlab-and-mathcad,Troy Siemers (Virginia Military Institute),matlab
39,Yet Another Introductory Number Theory Textbook (Cryptology Emphasis Version),https://open.umn.edu/opentextbooks/textbooks/yet-another-introductory-number-theory-textbook-cryptology-emphasis-version,Jonathan A. Poritz,mathematics
40,Think Data Structures: Algorithms and Information Retreival in Java,https://open.umn.edu/opentextbooks/textbooks/think-data-structures-algorithms-and-information-retrieval-in-java,Allen B. Downey,"java, datastructures"
41,How to Think Like a Computer Scientist: C Version,https://open.umn.edu/opentextbooks/textbooks/how-to-think-like-a-computer-scientist-c-version-1999,"Allen B. Downey, Thomas Scheffler",cprogramming
42,How to Think Like a Computer Scientist: C++ Version,https://open.umn.edu/opentextbooks/textbooks/how-to-think-like-a-computer-scientist-c-version,Allen B. Downey,cprogramming
43,Object-Oriented Reengineering Patterns,https://open.umn.edu/opentextbooks/textbooks/object-oriented-reengineering-patterns,"Serge Demeyer, Stéphane Ducasse, Oscar Nierstrasz",misc
