background,key_topics,last_offered,level,link,meta,name,number,permission,prereq,units,website
,,M17,,https://csd.cmu.edu/course-profiles/15-051-Discrete-Math-Primer,link to 15-051 course profile,Discrete Math Primer,15-051,"No(if yes, please see Notes)",,1,
,,S18 (F17),Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-410_605-Operating-System-Design-and-Implementation,link to 410/605 course profile,Operating System Design and Implementation,15-410,"Yes(if yes, please see Notes below),Students should not register for this class without advisor concurrence. Graduate students will not be admitted without advisor recommendation. This course is cross-listed with graduate level number 15-605. Graduate students MUST enroll in the graduate level version of the course. Graduate students will NOT be enrolled into the undergraduate level course and will be removed from the waitlist without notification.",,15,
,,F17,Undergraduate,https://www.csd.cs.cmu.edu/course-profiles/15-351-Algorithms-and-Advanced-Data-Structures,course profile for 15-351,Algorithms and Advanced Data Structures,15-351,"No (if yes, please see Notes)",,12,http://www.cs.cmu.edu/~jianma/15351/index.html
,,F17,Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-322_622-Introduction-to-Computer-Music,course profile for 15-322/622,Introduction to Computer Music,15-322,"No(if yes, please see Notes below)",,9,
,,F17,Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-451-Algorithm-Design-and-Analysis,Masters level 15-651 of course 15-451,Algorithm Design and Analysis,15-651,"No (if yes, please see Notes)",,12,"https://www.cs.cmu.edu/~15451/,https://www.cs.cmu.edu/~15451/"
,,S18 (S17),,https://www.csd.cs.cmu.edu/course-profiles/15-661-Interaction-and-Expression-using-the-Pausch-Bridge-Lighting,15-661 Course Profile,Interaction and Expression using the Pausch Bridge Lighting,15-661,"No(if yes, please see Notes)",,3,
,,F17,Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-445_645-Database-Systems,15-445/645 course profile page,Database Systems,15-645,"No (if yes, please see Notes)",,12,http://15445.courses.cs.cmu.edu/
,,F17,Undergraduate,http://www.csd.cs.cmu.edu/course-profiles/15-317-Constructive-Logic,,Constructive Logic,15-317,"No(if yes, please see Notes below)",,9,http://www.cs.cmu.edu/~fp/courses/15317-f17/
,,F17,Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-322_622-Introduction-to-Computer-Music,course profile for 15-322/622,Introduction to Computer Music,15-622,"No(if yes, please see Notes below)",,9,
,,F17,,https://www.csd.cs.cmu.edu/course-profiles/15-458-Discrete-Differential-Geometry,course profile for 15-458,Discrete Differential Geometry,15-458,"No(if yes, please see Notes)",,12,http://geometry.cs.cmu.edu/ddg
,,F17,Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-451-Algorithm-Design-and-Analysis,course profile for 15-451,Algorithm Design and Analysis,15-451,"No (if yes, please see Notes)",,12,"https://www.cs.cmu.edu/~15451/,https://www.cs.cmu.edu/~15451/"
,,F17,Undergraduate/Graduate,https://www.csd.cs.cmu.edu/course-profiles/15-445_645-Database-Systems,15-445 Course Profile Page,Database Systems,15-445,"No (if yes, please see Notes)",,12,http://15445.courses.cs.cmu.edu/
,,S18 (F17),Undergraduate/Graduate,https://csd.cs.cmu.edu/course-profiles/15-440_640-distributed-systems,"15-440, 640 course profile page",Distributed Systems,15-440,"No(if yes, please see Notes below)",,12,
,,S18 (F17),Undergraduate,https://www.csd.cs.cmu.edu/course-profiles/15-252-More-Great-Theoretical-Ideas-in-Computer-Science,15-252 course profile page,More Great Ideas in Theoretical Computer Science,15-252,"No(if yes, please see Notes below)",,3,https://www.cs.cmu.edu/~15251/252.html
,,S18 (F17),Undergraduate,https://www.csd.cs.cmu.edu/course-profiles/15-251-Great-Theoretical-Ideas-in-Computer-Science,link to course profile for 15-251,Great Theoretical Ideas in Computer Science,15-251,"No(if yes, please see Notes below)",,12,"http://www.cs.cmu.edu/~15251/policy.html,http://www.cs.cmu.edu/~15251/"
,,S18 (F17),Undergraduate,https://www.csd.cs.cmu.edu/course-profiles/15-210-parallel-and-sequential-data-structures-and-algorithms,link to 15-210 profile,Parallel and Sequential Data Structures and Algorithms,15-210,"No (if yes, please see Notes)",,12,
,,F17,Undergraduate/Graduate,https://csd.cs.cmu.edu/course-profiles/15-411_611-compiler-design,link to 15-411/611 Compiler Design,Compiler Design,15-411,"No(if yes, please see Notes below)",,15,
,,"F18, S18 (F17)",Undergraduate,http://csd.cs.cmu.edu/course-profiles/15-090-Computer-Science-Practicum,course profile for 15-090,Computer Science Practicum,15-090,"Yes (if yes, please see Notes)",,3,
,,F17,Undergraduate/Graduate,http://csd.cs.cmu.edu/course-profiles/15-418-Parallel-Computer-Architecture-and-Programming,Course profile for 15-418 and 618,Parallel Computer Architecture and Programming,15-418,No,,12,
,,S18 (F17),Undergraduate,http://csd.cs.cmu.edu/course-profiles/15-394-Intermediate-Rapid-Prototyping,course profile for 15-394,Intermediate Rapid Prototyping,15-394,"No (if yes, please see Notes)",,5,http://www.cs.cmu.edu/afs/cs/academic/class/15394u-s17/
,,F17,Undergraduate/Graduate,https://csd.cs.cmu.edu/course-profiles/15-440_640-distributed-systems,"15-440, 640 course profile page",Distributed Systems,15-640,"No(if yes, please see Notes below)",,12,
,,"S18 (F17, S17)",Undergraduate,https://www.csd.cs.cmu.edu/content/15-112-fundamentals-programming-and-computer-science,Link to 15-112 Profile Page,Fundamentals of Programming and Computer Science,15-112,No,,12,
,,S18 (F17),Undergraduate/Graduate,http://csd.cs.cmu.edu/course-profiles/15-319-619-Cloud-Computing,course profile for 15-319-619,Cloud Computing,15-319,"No (if yes, please see Notes)",,9 for 15-319 / 12 for 15-619,http://www.cs.cmu.edu/~msakr/15619-s17/
,,F17,,http://csd.cs.cmu.edu/course-profiles/15-348-Embedded-Systems,course profile for 15-348,Embedded Systems,15-348,"No(if yes, please see Notes)",,9,https://web2.qatar.cmu.edu/~srazak/courses/15348-s17/index.html
,,F17,Undergraduate/Graduate,https://csd.cs.cmu.edu/course-profiles/15-418-Parallel-Computer-Architecture-and-Programming,Course profile for 15-418 and 618,Parallel Computer Architecture and Programming,15-618,No,,12,
,,F17 - F18 transition to,,http://csd.cs.cmu.edu/course-profiles/15-313-Foundations-of-Software-Engineering,course profile for 15-313,Foundations of Software Engineering,15-313,"No(if yes, please see Notes)",,12,"https://www.cs.cmu.edu/~ckaestne/15313/,https://www.cs.cmu.edu/~ckaestne/15313/"
,,S18 (F17),Undergraduate,http://csd.cs.cmu.edu/course-profiles/15-295-Competition-Programming-and-Problem-Solving,course profile for 15-295,Competition Programming and Problem Solving,15-295,"No (if yes, please see Notes)",,5,
,,F17,Undergraduate/Graduate,http://csd.cs.cmu.edu/course-profiles/15-319-619-Cloud-Computing,course profile for 15-319-619,Cloud Computing,15-619,"No (if yes, please see Notes)",,9 for 15-319 / 12 for 15-619,http://www.cs.cmu.edu/~msakr/15619-s17/
,,F17,Undergraduate,http://csd.cs.cmu.edu/course-profiles/15-213-Introduction-to-Computer-Systems,Course 15-513 cross-listed with 15-213,Introduction to Computer Systems,15-513,"No (if yes, please see Notes)",,12,https://www.cs.cmu.edu/~213/
,,S18 (F17),Undergraduate,https://csd.cs.cmu.edu/course-profiles/15-122-principles-imperative-computation,link to 15-122 course profile,Principles of Imperative Computation,15-122,No,,10,http://www.cs.cmu.edu/~15122/home.shtml
,,S18 (F17),Undergraduate,http://csd.cs.cmu.edu/course-profiles/15-213-Introduction-to-Computer-Systems,link to course profile for 15-213,Introduction to Computer Systems,15-213,"No (if yes, please see Notes)",,12,https://www.cs.cmu.edu/~213/
,,S18 (F17),Undergraduate,http://csd.cs.cmu.edu/course-profiles/15-150-Principles-of-Functional-Programming,15-150 Principles of Functional Programming,Principles of Functional Programming,15-150,"No (if yes, please see Notes)",,12,
