description,directors,last_updated,link,name,number,prereq,website
"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Course Information: Prerequisite: MATH 112. Class Schedule Information: Students must register for one lab-discussion and one lecture section.",[{'Craig   Zilles': 'https://cs.illinois.edu/about/people/all-faculty/zilles'}],2/15/2019,https://cs.illinois.edu/academics/courses/CS105-120215,Intro Computing: Non-Tech,CS 105,,https://go.cs.illinois.edu/105
"A theoretical CS course covering advances in algorithmic game theory. This includes study of strategic, computational, learning, dynamic, and fairness aspects of games and markets (organizations that involves rational and strategic agents). In particular, topics will include computation and complexity of equilibria, mechanism design, fair-division, dynamics in games and markets, price-of-anarchy etc.. These topics arise from applications such as online marketplaces (like Lyft, Uber, eBay, sponsored search, TaskRabbit), social networks, recommendation systems, kidney exchange, spectrum auction, etc., and thereby will prepare students for related research and/or industry jobs. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 473.",[{'Ruta   Mehta': 'https://cs.illinois.edu/about/people/all-faculty/rutameht'}],,https://cs.illinois.edu/academics/courses/CS580,Topics in Algrthmc Game Theory,CS 580,,https://courses.grainger.illinois.edu/cs580/fa2021/
"The purpose of the course is to give each student enough background and training in the area of algorithmic genomic biology so that each will be able to do research in this area, and publish papers. The main focus of the course is phylogeny (evolutionary tree) estimation, multiple sequence alignment, and genome-scale phylogenetics, which are problems that present very interesting challenges from a computational and statistical standpoint. Time permitting, we will also discuss computational problems in microbiome analysis, protein function and structure prediction, genome assembly, and even historical linguistics. Students will learn the mathematical and computational foundations in these areas, read the current literature, and do a team research project. The course is designed for doctoral students in computer science, computer engineering, bioengineering, mathematics, and statistics, and does not depend on any prior background in biology. The technical material will depend on discrete",[{}],,https://cs.illinois.edu/academics/courses/CS581,Algorithmic Genomic Biology,CS 581,,http://tandy.cs.illinois.edu/CS581-Fa2021-short.html
"Will introduce students to the computational principles involved in autonomous vehicles, with practical labwork on an actual vehicle. Sensing topics will include vision, lidar and sonar sensing, including state-of-the-art methods for detection, classification, and segmentation. Bayesian filtering methods will be covered in the context of both SLAM and visual tracking. Planning and control topics will cover vehicle dynamics models, state-lattice planning, sampling-based kinodynamic planning, optimal control and trajectory optimization, and some reinforcement learning. Evaluation will involve ambitious challenge projects implemented on a physical vehicle. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 374, ECE 484, or equivalent.",[{'David Alexander Forsyth': 'https://cs.illinois.edu/about/people/all-faculty/daf'}],,https://cs.illinois.edu/academics/courses/CS588,Autonomous Vehicle System Eng,CS 588,,
Course Information: Same as ECE 584. See ECE 584.,[{}],,https://cs.illinois.edu/academics/courses/CS584,Embedded System Verification,CS 584,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591CSO,CS Colloquium,CS 591 CSO,,https://courses.grainger.illinois.edu/cs591cs/fa2021/index.html
"This graduate course on bioinformatics introduces a selection of topics in computational biology and bioinformatics, with special emphasis on current problems in regulatory genomics and systems biology. Computational approaches discussed will focus on Machine Learning techniques such as Bayesian inference, graphical models, supervised learning and network analysis. Bioinformatics topics will be introduced through lectures by instructor and research paper presentations by students, and include regulatory sequence analysis, cistromics, epigenomics, regulatory network reconstruction, non-coding variant interpretation, and protein structure and function prediction. A research project involving real data analysis with techniques related to course content is mandatory and will help prepare students for bioinformatics research. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 446; Credit or concurrent enrollment in CS 466; or consent of instructor.",[{'Saurabh   Sinha': 'https://cs.illinois.edu/about/people/all-faculty/sinhas'}],,https://cs.illinois.edu/academics/courses/CS582,ML for Bioinformatics,CS 582,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591DS,Distributed Systems Seminar,CS 591 DS,,
"Approximation algorithms for NP-hard problems. Basic and advanced techniques in approximation algorithm design: combinatorial algorithms; mathematical programming methods including linear and semi-definite programming, local search methods, and others. Algorithms for graphs and networks, constraint satisfaction, packing and scheduling. Course Information: Prerequisite: CS 573 or consent of instructor.",[{}],,https://cs.illinois.edu/academics/courses/CS583,Approximation Algorithms,CS 583,,https://courses.engr.illinois.edu/cs583/fa2021/
"Turing machines; determinism and non-determinism; time and space hierarchy theorems; speed-up and tape compression; Blum axioms; structure of complexity classes NP, P, NL, L, and PSPACE; complete problems; randomness and complexity classes RP, RL, and BPP; alternation, polynomial-time hierarchy; circuit complexity, parallel complexity, NC, and RNC; relativized computational complexity; time-space trade-offs. Course Information: Same as ECE 579. Prerequisite: CS 473 or CS 475.",[{}],,https://cs.illinois.edu/academics/courses/CS579,Computational Complexity,CS 579,,
"Online social interactions occur in many arenas important to society and human well-being, but are mediated through algorithmic interventions that alter the users expectations in these social spaces. This class explores the presentation of self, the presentation of collectives, the presentation of news, and social dynamics in these online spaces--and how algorithmic intervention shapes them from the perspective of social signaling theory. Topics covered include: the evolution of algorithmic matchmaking (as in online resume/interviews and dating sites), why people share misinformation, the mitigation of trolling, ethics, and bias in social media systems. Upon completion of this course, students will have an up-to-date understanding of the design social media interfaces with incentive structures from social signaling theory. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 465 or equivalent or permission of instructor. Prioritize PhD students, then others.",[{'Kyratso George Karahalios': 'https://cs.illinois.edu/about/people/all-faculty/kkarahal'}],,https://cs.illinois.edu/academics/courses/CS567,Social Spaces,CS 567,,http://social.cs.illinois.edu/class/cs567
"Advanced topics in computer-aided methods for formal deduction, selected from areas of current research, such as: resolution theorem proving strategies, special relations, equational reasoning, unification theory, rewrite systems, mathematical induction, program derivation, hybrid inference systems, and programming with logic. Course Information: May be repeated in separate terms. Prerequisite: As specified for each topic offering, see Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS576,Topics in Automated Deduction,CS 576,,https://courses.grainger.illinois.edu/cs576/fa2021/
Course Information: Same as MATH 580. See MATH 580.,[{}],,https://cs.illinois.edu/academics/courses/CS571,Combinatorial Mathematics,CS 571,,
"Current research trends in computer and network security. Privacy, tamper-resistance, unwanted traffic, monitoring and surveillance, and critical infrastructure protection. Subtopics will vary depending upon current research trends. Students work in teams in close coordination with the course instructor to develop one of the topics in depth by carrying out background research and an exploratory project. Course Information: Same as ECE 524. Prerequisite: CS 461 or CS 463.",[{}],,https://cs.illinois.edu/academics/courses/CS563,Advanced Computer Security,CS 563,,
"Advanced topics in security and privacy problems in machine learning systems, selected from areas of current research such as: adversarial machine learning, differential privacy, game theory enabled defenses, robust learning methods, machine learning based cybercrime analysis, network intrusion detection, and malware analysis, and machine learning interpretation techniques. Course Information: 4 graduate hours. No professional credit. May be repeated if topics vary. Credit is not given towards a degree from multiple offerings of this course if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 446 and CS 463 or equivalent courses, by consent of instructor. Additional prerequisites or corequisites may be specified each term. See section information.","[{'Bo   Li': 'https://cs.illinois.edu/about/people/all-faculty/lbo', 'Gang   Wang': 'https://cs.illinois.edu/about/people/all-faculty/gangw'}]",,https://cs.illinois.edu/academics/courses/CS562,"Adv Topics in Sec, Priv and ML",CS 562,,https://aisecure.github.io/TEACHING/CS562/CS562-Fall2021.html
"Comprehensive treatment of algebraic and multigrid iterative methods to solve systems of equations, primarily linear equations arising from discretization of partial differential equations. Course Information: Same as CSE 511.",[{'Luke   Olson': 'https://cs.illinois.edu/about/people/all-faculty/lukeo'}],,https://cs.illinois.edu/academics/courses/CS556,Iterative & Multigrid Methods,CS 556,,https://relate.cs.illinois.edu/course/cs556-f21/
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591SE,Advanced Seminar,CS 591 SE,,https://wiki.illinois.edu//wiki/display/SoftEng/Home
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598WSI,Special Topics,CS 598 WSI,,https://courses.grainger.illinois.edu/cs598wsi/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598TMC,Special Topics,CS 598 TMC,,https://courses.grainger.illinois.edu/cs598tmc/fa2021/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598TEL,Special Topics,CS 598 TEL,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598TAR,Special Topics,CS 598 TAR,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],1/21/2020,https://cs.illinois.edu/academics/courses/CS598SVA,Special Topics,CS 598 SVA,,https://wiki.illinois.edu/wiki/display/CS598SVASP21
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598SS,Special Topics,CS 598 SS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598SGO,Special Topics,CS 598 SGO,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598SHW,Special Topics,CS 598 SHW,,https://shenlong.web.illinois.edu/teaching/cs598fall21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598SG,Special Topics,CS 598 SG,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598RTS,Special Topics,CS 598 RTS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598PSR,Special Topics,CS 598 PSR,,https://courses.grainger.illinois.edu/cs598psr/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598RK,Special Topics,CS 598 RK,,https://courses.grainger.illinois.edu/cs598rk/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598PS,Special Topics,CS 598 PS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598PPM,Special Topics,CS 598 PPM,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598OOK,Special Topics,CS 598 OOK,,https://relate.cs.illinois.edu/course/cs598ook-sp21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598OSS,Special Topics,CS 598 OSS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598MP,Special Topics,CS 598 MP,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598MEB,Special Topics,CS 598 MEB,,http://www.el-kebir.net/teaching/CS598MEB.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598LVK,Special Topics,CS 598 LVK,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598MAF,Special Topics,CS 598 MAF,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],9/12/2019,https://cs.illinois.edu/academics/courses/CS598LRW,Special Topics,CS 598 LRW,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598MAN,Special Topics,CS 598 MAN,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598KN,Special Topics,CS 598 KN,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598LCE,Special Topics,CS 598 LCE,,https://vikram.cs.illinois.edu/cs-598lce-languages-and-compilers-for-edge-computing/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598JP,Special Topics,CS 598 JP,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598KGK,Special Topics,CS 598 KGK,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598KKH,Special Topics,CS 598 KKH,,http://cs598kkh2021.web.illinois.edu/
,[{}],,https://cs.illinois.edu/academics/courses/CS598EKS,Special Topics,CS 598 EKS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598JGE,Special Topics,CS 598 JGE,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598JHM,Special Topics,CS 598 JHM,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598EWS,Special Topics,CS 598 EWS,,http://www.eshwarchandrasekharan.com/spring2021-cs598.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598GDS,Special Topics,CS 598 GDS,,https://ggndpsngh.github.io/teaching/2021-fall-lai/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598ECH,Special Topics,CS 598 ECH,,http://www.eshwarchandrasekharan.com/fall2021-cs598.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598HS,Special Topics,CS 598 HS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598JBR,Special Topics,CS 598 JBR,,https://reyhaneh.cs.illinois.edu/cs598-sp2021.htm
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598HAZ,Special Topics,CS 598 HAZ,,https://hanzhaoml.github.io/courses/cs598-haz/index.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598DK,Special Topics,CS 598 DK,,https://courses.grainger.illinois.edu/cs598dk/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598DWH,Special Topics,CS 598 DWH,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598DHP,Special Topics,CS 598 DHP,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598DAF,Special Topics,CS 598 DAF,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598DEL,Special Topics,CS 598 DEL,,http://canvas.illinois.edu/courses/14110
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CSC,Special Topics,CS 598 CSC,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CXZ,Special Topics,CS 598 CXZ,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CPS,Special Topics,CS 598 CPS,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CM,Special Topics,CS 598 CM,,https://charithm.web.illinois.edu/cs598cm/fa2021/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CAC,Special Topics,CS 598 CAC,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CLF,Special Topics,CS 598 CLF,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CG,Special Topics,CS 598 CG,,https://docs.google.com/spreadsheets/d/1QhiwkMEO0sKwQCjhZOCm4ebTghaF12Z865hfvMMe0Ag/edit?usp=sharing
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598CAL,Special Topics,CS 598 CAL,,https://sites.google.com/view/cs598cal
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598BAN,Special Topics,CS 598 BAN,,https://arindam.cs.illinois.edu/courses/f21cs598/Syllabus.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598APK,Special Topics,CS 598 APK,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591TCI,Advanced Seminar,CS 591 TCI,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],7/24/2014,https://cs.illinois.edu/academics/courses/CS598AGP,Special Topics,CS 598 AGP,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],8/24/2015,https://cs.illinois.edu/academics/courses/CS598AK,Special Topics,CS 598 AK,,HTTP://COURSES.GRAINGER.ILLINOIS.EDU/CS598AK/FA2021
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591TXT,Advanced Seminar,CS 591 TXT,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591TA,Advanced Seminar,CS 591 TA,,https://canvas.illinois.edu
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591TCS,Advanced Seminar,CS 591 TCS,,
,[{}],,https://cs.illinois.edu/academics/courses/CS598AGO,Special Topics,CS 598 AGO,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS598AO2,Special Topics,CS 598 AO2,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591SN,Advanced Seminar,CS 591 SN,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591SCH,Advanced Seminar,CS 591 SCH,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591MH,Advanced Seminar,CS 591 MH,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591RHC,Advanced Seminar,CS 591 RHC,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591LVK,Advanced Seminar,CS 591 LVK,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591PHD,Advanced Seminar,CS 591 PHD,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591LRS,Advanced Seminar,CS 591 LRS,,https://wiki.illinois.edu/wiki/display/cs598lrs/Home
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591JM,Advanced Seminar,CS 591 JM,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591JE,Advanced Seminar,CS 591 JE,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591IG,Advanced Seminar,CS 591 IG,,
