description,link,name,number,prerequisites,profs,text_profs,type,units,websites
" Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.",https://www2.eecs.berkeley.edu/Courses/CSC8,,CS C8," This course may be taken on its own, but students are encouraged to take it concurrently with a data science connector course (numbered 88 in a range of departments).",[{}],,, 4.0,http://inst.eecs.berkeley.edu/~cs8
" Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language. ",https://www2.eecs.berkeley.edu/Courses/CS61B,The Structure and Interpretation of Computer Programs,CS 61B," COMPSCI 61A, COMPSCI 88, or ENGIN 7.","[{'John\xa0DeNero': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/denero.html', 'Pamela\xa0Fox': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/pamelafox.html'}]",Vanshaj Singhania,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs61b
" An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional, object-oriented, and declarative approaches. It includes an introduction to asymptotic analysis of algorithms. There are several significant programming projects.",https://www2.eecs.berkeley.edu/Courses/CS61A,Self-paced courses,CS 61A, MATH 1A (may be taken concurrently); programming experience equivalent to that gained from a score of 3 or above on the Advanced Placement Computer Science A exam.,"[{'Ana\xa0Arias': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/acarias.html', 'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}]","Dahlia Saba,Dixun Cui",SLF, 4.0,http://inst.eecs.berkeley.edu/~cs61a
" This course allows students who have had a linear algebra and/or basic circuit theory course to complete the work in EE16A and be ready for EE16B or EE47E. The course focuses on the fundamentals of designing modern information devices and systems that interface with the real world and provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises.",https://www2.eecs.berkeley.edu/Courses/EECS47D_1977,Self-paced courses,EECS 47D," MATH 1A, MATH 1B, COMPSCI 61A (encouraged to be taken concurrently), college level courses in linear algebra and/or circuit theory, and consent of the instructor.",[{'Nicholas\xa0Weaver': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nweaver.html'}],,SLF, 1.0-3.0,http://inst.eecs.berkeley.edu/~eecs47d
" MIPS instruction set simulation. The assembly and linking process. Caches and virtual memory. Pipelined computer organization. Students with sufficient partial credit in 61C may, with consent of instructor, complete the credit in this self-paced course. ",https://www2.eecs.berkeley.edu/Courses/CS47C_1977,Self-paced courses,CS 47C," Experience with assembly language including writing an interrupt handler, COMPSCI 9C, and consent of instructor.",[{'Prof.\xa0Josh\xa0Hug': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/joshhug.html'}],,SLF, 1.0,http://inst.eecs.berkeley.edu/~cs47c
" Iterators. Hashing, applied to strings and multi-dimensional structures. Heaps. Storage management. Design and implementation of a program containing hundreds of lines of code. Students who have completed a portion of the subject matter of COMPSCI 61B may, with consent of instructor, complete COMPSCI 61B in this self-paced course.  Please note that students in the College of Engineering are required to receive additional permission from the College as well as the EECS department for the course to count in place of COMPSCI 61B.",https://www2.eecs.berkeley.edu/Courses/CS47B_1977,Self-paced courses,CS 47B," A course in data structures, COMPSCI 9G, and consent of instructor.",[{'Paul\xa0HILFINGER': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hilfinger.html'}],,SLF, 1.0,http://inst.eecs.berkeley.edu/~cs47b
" Implementation of generic operations. Streams and iterators. Implementation techniques for supporting functional, object-oriented, and constraint-based programming in the Scheme programming language. Together with 9D, 47A constitutes an abbreviated, self-paced version of 61A for students who have already taken a course equivalent to 61B. ",https://www2.eecs.berkeley.edu/Courses/CS47A_1977,Our Digital Quandary: The Co-Evolution of Information Technology and Society,CS 47A," COMPSCI 61B, COMPSCI 9D, and consent of instructor.",[{'Prof.\xa0Armando\xa0Fox': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/fox.html'}],,SEM, 1.0,http://inst.eecs.berkeley.edu/~cs47a
" The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen. ",https://www2.eecs.berkeley.edu/Courses/CS24_4505,The Coevolution of Humans and Machines,CS 24,,[{'Edward\xa0A.\xa0LEE': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/lee.html'}],,SEM, 1.0,http://inst.eecs.berkeley.edu/~cs24
" Iterators. Hashing, applied to strings and multi-dimensional structures. Heaps. Storage management. Design and implementation of a program containing hundreds of lines of code. Students who have completed a portion of the subject matter of COMPSCI 61B may, with consent of instructor, complete COMPSCI 61B in this self-paced course.  Please note that students in the College of Engineering are required to receive additional permission from the College as well as the EECS department for the course to count in place of COMPSCI 61B.",https://www2.eecs.berkeley.edu/Courses/CS47B_1977,Self-paced courses,CS 47B," A course in data structures, COMPSCI 9G, and consent of instructor.",[{'John\xa0DeNero': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/denero.html'}],,SLF, 1.0,http://inst.eecs.berkeley.edu/~cs47b
" The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen. ",https://www2.eecs.berkeley.edu/Courses/CS24_4247,"Boeing 737 MAX: Money, Machines, and Morals in Conflict",CS 24,,[{'Brian\xa0A.\xa0BARSKY': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/barsky.html'}],,SEM, 1.0,http://inst.eecs.berkeley.edu/~cs24
