name,sites
1109: Fundamental Programming Concepts,"[{' CR': 'https://classes.cornell.edu/browse/roster/SU20/class/CS/1109', 'Summer 19': 'http://www.cs.cornell.edu/courses/CS1109/2019su/'}]"
1110: Introduction to Computing Using Python,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1110', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS1110/2021fa/'}]"
1112: Introduction to Computing Using MATLAB,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS1112/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1112', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS1112/2021fa/'}]"
1132: Short Course in MATLAB,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS1132/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1132', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS1132/2021fa/'}]"
1133: Short Course in Python,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1133'}]
1300: Introductory Design and Programming for the Web,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1300', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS1300/2021fa/'}]"
1340: Choices and Consequences in Computing,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS1340/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1340'}]"
1380: Data Science for All,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS1380/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1380', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS1380/2021sp/'}]"
1610: Computing in the Arts,[{' CR': 'https://classes.cornell.edu/browse/roster/SU21/class/CS/1610'}]
1620: Visual Imaging in the Electronic Age,"[{'Fall 19': 'https://www.graphics.cornell.edu/sites/default/files/inline-files/Revised%20Visual%20Imaging%20Web%20Article%204.2_0.pdf', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/1620', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS1620/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS1620/2021fa/'}]"
1710: Introduction to Cognitive Science,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1710'}]
1998: Freshmen and Nontechnical Team Projects,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/1998'}]
2024: C++ Programming,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS2024/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/2024', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS2024/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS2024/2021fa/'}]"
